127.0.0.1 - - [13/Oct/2022:16:54:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:54:28 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:54:44 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:54:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:56:30 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:56:30 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:56:31 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:56:31 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:56:31 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:56:31 +0900] "GET /project/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:57:06 +0900] "GET /project/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:57:07 +0900] "GET /project/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:57:07 +0900] "GET /project/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [13/Oct/2022:16:57:08 +0900] "GET /project/ HTTP/1.1" 200 186
